category_id,category,title,rating,duration
ct167,Action & Adventure,Naruto Shippuden: The Movie: The Lost Tower,TV-14,85 min
ct168,Action & Adventure,The Age of Shadows,TV-MA,140 min
ct169,Action & Adventure,Dead Again in Tombstone,R,99 min
ct170,Action & Adventure,Ala Vaikunthapurramuloo,TV-14,162 min
ct171,Action & Adventure,Patriot Games,R,117 min
ct172,Action & Adventure,The Space Between Us,PG-13,120 min
ct173,Action & Adventure,Mosul,TV-MA,103 min
ct174,Action & Adventure,Big Kill,R,126 min
ct175,Action & Adventure,Star Trek,PG-13,128 min
ct176,Action & Adventure,Dhamaal,TV-14,128 min
ct177,Action & Adventure,Passenger 57,R,84 min
ct178,Action & Adventure,Spyder,TV-14,140 min
ct179,Action & Adventure,Detention Letter,TV-14,99 min
ct180,Action & Adventure,Asphalt Burning,TV-14,101 min
ct181,Action & Adventure,Line Walker,TV-MA,109 min
ct182,Action & Adventure,Bitcoin Heist,TV-14,116 min
ct183,Action & Adventure,Real Steel,PG-13,127 min
ct184,Action & Adventure,Mobile Suit Gundam: Char's Counterattack,TV-14,120 min
ct185,Action & Adventure,Waarrior Savitri,TV-14,120 min
ct186,Action & Adventure,Hello Brother,TV-14,126 min
ct187,Action & Adventure,Tamanchey,TV-MA,111 min
ct188,Action & Adventure,Mobile Suit Gundam III: Encounters in Space,TV-MA,140 min
ct189,Action & Adventure,Talladega Nights: The Ballad of Ricky Bobby,PG-13,108 min
ct1028,Anime Series,ID-0,TV-PG,1 Season
ct190,Action & Adventure,High & Low The Movie,TV-MA,129 min
ct191,Action & Adventure,Black Hawk Down,R,144 min
ct192,Action & Adventure,Mobile Suit Gundam II: Soldiers of Sorrow,TV-14,133 min
ct193,Action & Adventure,Black Panther,PG-13,135 min
ct194,Action & Adventure,Naruto the Movie 2: Legend of the Stone of Gelel,TV-PG,97 min
ct195,Action & Adventure,Next,PG-13,96 min
ct196,Action & Adventure,Black Site Delta,TV-MA,88 min
ct197,Action & Adventure,The Karate Kid,PG,127 min
ct198,Action & Adventure,Nibunan,TV-14,124 min
ct199,Action & Adventure,Dante's Peak,PG-13,108 min
ct200,Action & Adventure,The Karate Kid Part II,PG,113 min
ct201,Action & Adventure,Daemonium,NR,115 min
ct202,Action & Adventure,High & Low The Red Rain,TV-MA,111 min
ct203,Action & Adventure,Mersal,TV-14,162 min
ct204,Action & Adventure,Beauty and the Bestie,TV-14,119 min
ct205,Action & Adventure,Sarkar,TV-MA,162 min
ct206,Action & Adventure,The Forbidden Kingdom,PG-13,104 min
ct207,Action & Adventure,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,TV-PG,95 min
ct208,Action & Adventure,GODZILLA City on the Edge of Battle,TV-14,101 min
ct209,Action & Adventure,The Long Riders,R,100 min
ct210,Action & Adventure,Blood Father,R,88 min
ct211,Action & Adventure,Daagdi Chaawl,TV-14,118 min
ct212,Action & Adventure,The Spy Next Door,PG,94 min
ct213,Action & Adventure,The Matrix,R,136 min
ct214,Action & Adventure,Batman: The Killing Joke,R,77 min
ct215,Action & Adventure,Paid in Full,R,98 min
ct216,Action & Adventure,Due Date,R,95 min
ct217,Action & Adventure,The Sum of All Fears,PG-13,124 min
ct218,Action & Adventure,Blue Streak,PG-13,94 min
ct219,Action & Adventure,Once a Gangster,TV-MA,95 min
ct220,Action & Adventure,Pahuyut Fighting Beat,TV-MA,82 min
ct221,Action & Adventure,"Crouching Tiger, Hidden Dragon",PG-13,120 min
ct222,Action & Adventure,The Tourist,PG-13,103 min
ct223,Action & Adventure,Green Zone,R,115 min
ct224,Action & Adventure,Underworld,R,121 min
ct225,Action & Adventure,Seventh Son,PG-13,102 min
ct226,Action & Adventure,The Interview,R,112 min
ct227,Action & Adventure,The Brave,TV-MA,103 min
ct228,Action & Adventure,Outlawed,TV-MA,102 min
ct229,Action & Adventure,Gunjan Saxena: The Kargil Girl,TV-14,113 min
ct230,Action & Adventure,The Last Runway,TV-MA,107 min
ct231,Action & Adventure,Underworld: Rise of the Lycans,R,92 min
ct232,Action & Adventure,Contract,TV-14,116 min
ct233,Action & Adventure,The Guns of Navarone,TV-14,156 min
ct234,Action & Adventure,Company,TV-MA,137 min
ct235,Action & Adventure,Baaghi,TV-14,127 min
ct236,Action & Adventure,Rangoon,TV-14,153 min
ct237,Action & Adventure,Naruto the Movie: Ninja Clash in the Land of Snow,TV-PG,83 min
ct238,Action & Adventure,Code Name: The Cleaner,PG-13,91 min
ct239,Action & Adventure,Opium and the Kung Fu Master,TV-MA,86 min
ct240,Action & Adventure,Bonnie and Clyde,R,111 min
ct241,Action & Adventure,Cloverfield,PG-13,85 min
ct242,Action & Adventure,High & Low The Movie 2 / End of Sky,TV-MA,124 min
ct243,Action & Adventure,Boom,TV-MA,79 min
ct244,Action & Adventure,Cloud Atlas,R,172 min
ct245,Action & Adventure,Operation Mekong,TV-MA,124 min
ct246,Action & Adventure,The Book of Eli,R,118 min
ct247,Action & Adventure,Operation Chromite,NR,111 min
ct248,Action & Adventure,Cleopatra Jones,PG,89 min
ct249,Action & Adventure,Clash of the Titans,PG-13,106 min
ct250,Action & Adventure,America: The Motion Picture,TV-MA,98 min
ct251,Action & Adventure,The Taking of Pelham 123,R,106 min
ct252,Action & Adventure,Viking Destiny,R,91 min
ct253,Action & Adventure,Below Zero,TV-MA,107 min
ct254,Action & Adventure,The Paper Tigers,PG-13,111 min
ct255,Action & Adventure,Sword Masters: Two Champions of Shaolin,R,101 min
ct256,Action & Adventure,Shadow,TV-14,116 min
ct257,Action & Adventure,Brotherhood of Blades II: The Infernal Battlefield,TV-MA,120 min
ct258,Action & Adventure,Rim of the World,TV-14,99 min
ct259,Action & Adventure,Extinction,TV-MA,95 min
ct260,Action & Adventure,Homefront,R,100 min
ct261,Action & Adventure,Buffalo Boys,TV-MA,103 min
ct262,Action & Adventure,Space Sweepers,TV-MA,138 min
ct263,Action & Adventure,Once Upon a Time in the West,PG-13,166 min
ct264,Action & Adventure,The Yin-Yang Master: Dream Of Eternity,TV-14,133 min
ct265,Action & Adventure,High & Low The Movie 3 / Final Mission,TV-MA,118 min
ct266,Action & Adventure,Bushwick,TV-MA,94 min
ct267,Action & Adventure,Doom: Annihilation,R,97 min
ct268,Action & Adventure,Veerappan,TV-14,117 min
ct269,Action & Adventure,Shadow and Bone - The Afterparty,TV-14,33 min
ct270,Action & Adventure,Highway,TV-14,127 min
ct271,Action & Adventure,Used Goods,TV-14,95 min
ct272,Action & Adventure,Paradise Beach,TV-MA,94 min
ct273,Action & Adventure,China Salesman,TV-MA,111 min
ct274,Action & Adventure,On the Wrong Track,TV-14,89 min
ct275,Action & Adventure,Poseidon,PG-13,98 min
ct276,Action & Adventure,Black Beach,TV-MA,116 min
ct277,Action & Adventure,Vantage Point,PG-13,90 min
ct278,Action & Adventure,Casino Royale,PG-13,145 min
ct279,Action & Adventure,The Ice Road,PG-13,109 min
ct280,Action & Adventure,Mohenjo Daro,TV-14,168 min
ct281,Action & Adventure,Tomorrow Never Dies,PG-13,119 min
ct282,Action & Adventure,Officer Downe,R,91 min
ct283,Action & Adventure,Casino Tycoon 2,TV-MA,108 min
ct284,Action & Adventure,The Witch: Part 1 - The Subversion,TV-MA,126 min
ct285,Action & Adventure,USS Indianapolis: Men of Courage,R,130 min
ct286,Action & Adventure,Ocean's Twelve,PG-13,125 min
ct287,Action & Adventure,The Hurricane Heist,PG-13,103 min
ct288,Action & Adventure,Osmosis Jones,PG,95 min
ct289,Action & Adventure,V for Vendetta,R,132 min
ct290,Action & Adventure,Headshot,TV-MA,119 min
ct291,Action & Adventure,Point Blank,TV-MA,87 min
ct292,Action & Adventure,Inception,PG-13,148 min
ct293,Action & Adventure,Beverly Hills Ninja,PG-13,89 min
ct294,Action & Adventure,Cave,TV-MA,77 min
ct295,Action & Adventure,Chasing the Dragon,TV-MA,129 min
ct296,Action & Adventure,Ocean's Eleven,TV-PG,127 min
ct297,Action & Adventure,Charlie's Angels: Full Throttle,PG-13,106 min
ct298,Action & Adventure,In a Valley of Violence,R,104 min
ct299,Action & Adventure,The Man Who Feels No Pain,TV-14,137 min
ct300,Action & Adventure,Oh Darling Yeh Hai India,TV-14,154 min
ct301,Action & Adventure,Den of Thieves,R,140 min
ct302,Action & Adventure,Casino Tycoon,TV-MA,125 min
ct303,Action & Adventure,Where the Money Is,PG-13,89 min
ct304,Action & Adventure,Khalnayak,TV-14,170 min
ct305,Action & Adventure,Force 2,TV-14,123 min
ct306,Action & Adventure,Set Up,R,85 min
ct307,Action & Adventure,Operações Especiais,TV-MA,99 min
ct308,Action & Adventure,Code 8,TV-MA,98 min
ct309,Action & Adventure,Rocky Handsome,TV-MA,119 min
ct310,Action & Adventure,Sei,TV-14,126 min
ct311,Action & Adventure,Close,TV-MA,95 min
ct312,Action & Adventure,Django Unchained,R,165 min
ct313,Action & Adventure,Bright,TV-MA,118 min
